1530556913 unite1_ID0000008 POST_SCRIPT_TERMINATED 708.0 condorpool - 12
1530556913 unite1_ID0000008 POST_SCRIPT_SUCCESS 0 condorpool - 12
1530556918 unite2_ID0000009 SUBMIT 709.0 condorpool - 13
1530556923 unite2_ID0000009 EXECUTE 709.0 condorpool - 13
1530556923 unite2_ID0000009 JOB_TERMINATED 709.0 condorpool - 13
1530556923 unite2_ID0000009 JOB_SUCCESS 0 condorpool - 13
1530556923 unite2_ID0000009 POST_SCRIPT_STARTED 709.0 condorpool - 13
1530556928 unite2_ID0000009 POST_SCRIPT_TERMINATED 709.0 condorpool - 13
1530556928 unite2_ID0000009 POST_SCRIPT_SUCCESS 0 condorpool - 13
1530556933 line_ID0000010 SUBMIT 710.0 condorpool - 14
1530556933 stage_out_local_local_9_0 SUBMIT 711.0 local - 15
1530556938 stage_out_local_local_9_0 EXECUTE 711.0 local - 15
1530556938 line_ID0000010 EXECUTE 710.0 condorpool - 14
1530556938 line_ID0000010 JOB_TERMINATED 710.0 condorpool - 14
1530556938 line_ID0000010 JOB_SUCCESS 0 condorpool - 14
1530556938 line_ID0000010 POST_SCRIPT_STARTED 710.0 condorpool - 14
1530556938 stage_out_local_local_9_0 JOB_TERMINATED 711.0 local - 15
1530556938 stage_out_local_local_9_0 JOB_SUCCESS 0 local - 15
1530556938 stage_out_local_local_9_0 POST_SCRIPT_STARTED 711.0 local - 15
1530556943 line_ID0000010 POST_SCRIPT_TERMINATED 710.0 condorpool - 14
1530556943 line_ID0000010 POST_SCRIPT_SUCCESS 0 condorpool - 14
1530556943 stage_out_local_local_9_0 POST_SCRIPT_TERMINATED 711.0 local - 15
1530556943 stage_out_local_local_9_0 POST_SCRIPT_SUCCESS 0 local - 15
1530556948 stage_out_local_local_10_0 SUBMIT 712.0 local - 16
1530556953 stage_out_local_local_10_0 EXECUTE 712.0 local - 16
1530556953 stage_out_local_local_10_0 JOB_TERMINATED 712.0 local - 16
1530556953 stage_out_local_local_10_0 JOB_SUCCESS 0 local - 16
1530556953 stage_out_local_local_10_0 POST_SCRIPT_STARTED 712.0 local - 16
1530556958 stage_out_local_local_10_0 POST_SCRIPT_TERMINATED 712.0 local - 16
1530556958 stage_out_local_local_10_0 POST_SCRIPT_SUCCESS 0 local - 16
1530556964 cleanup_wrangling_0_local SUBMIT 713.0 local - 17
1530556969 cleanup_wrangling_0_local EXECUTE 713.0 local - 17
1530556969 cleanup_wrangling_0_local JOB_TERMINATED 713.0 local - 17
1530556969 cleanup_wrangling_0_local JOB_SUCCESS 0 local - 17
1530556969 INTERNAL *** DAGMAN_FINISHED 0 ***
1530556970 INTERNAL *** MONITORD_FINISHED 0 ***
