1530785514 INTERNAL *** MONITORD_STARTED ***
1530785513 INTERNAL *** DAGMAN_STARTED 750.0 ***
1530785517 create_dir_wrangling_0_local SUBMIT 751.0 local - 1
1530785522 create_dir_wrangling_0_local EXECUTE 751.0 local - 1
1530785522 create_dir_wrangling_0_local JOB_TERMINATED 751.0 local - 1
1530785522 create_dir_wrangling_0_local JOB_SUCCESS 0 local - 1
1530785522 create_dir_wrangling_0_local POST_SCRIPT_STARTED 751.0 local - 1
1530785527 create_dir_wrangling_0_local POST_SCRIPT_TERMINATED 751.0 local - 1
1530785527 create_dir_wrangling_0_local POST_SCRIPT_SUCCESS 0 local - 1
1530785532 svn0_ID0000000 SUBMIT 752.0 condorpool - 2
1530785557 svn0_ID0000000 EXECUTE 752.0 condorpool - 2
1530785557 svn0_ID0000000 SHADOW_EXCEPTION 752.0 condorpool - 2
1530785557 svn0_ID0000000 JOB_HELD 752.0 condorpool - 2
1530785557 svn0_ID0000000 JOB_HELD_REASON 752.0 condorpool - 2
1530787418 svn0_ID0000000 JOB_ABORTED 752.0 condorpool - 2
1530787418 svn0_ID0000000 POST_SCRIPT_STARTED 752.0 condorpool - 2
1530787423 svn0_ID0000000 POST_SCRIPT_TERMINATED 752.0 condorpool - 2
1530787423 svn0_ID0000000 POST_SCRIPT_FAILURE 1 condorpool - 2
1530787428 svn0_ID0000000 SUBMIT 796.0 condorpool - 3
1530787438 svn0_ID0000000 EXECUTE 796.0 condorpool - 3
1530787443 svn0_ID0000000 JOB_TERMINATED 796.0 condorpool - 3
1530787443 svn0_ID0000000 JOB_SUCCESS 0 condorpool - 3
1530787443 svn0_ID0000000 POST_SCRIPT_STARTED 796.0 condorpool - 3
1530787448 svn0_ID0000000 POST_SCRIPT_TERMINATED 796.0 condorpool - 3
1530787448 svn0_ID0000000 POST_SCRIPT_SUCCESS 0 condorpool - 3
1530787453 filter1_ID0000002 SUBMIT 797.0 condorpool - 4
1530787453 stage_out_local_local_0_0 SUBMIT 798.0 local - 5
1530787453 stage_out_local_local_0_0 EXECUTE 798.0 local - 5
1530787453 filter1_ID0000001 SUBMIT 799.0 condorpool - 6
1530787458 filter1_ID0000002 EXECUTE 797.0 condorpool - 4
1530787458 filter1_ID0000002 JOB_TERMINATED 797.0 condorpool - 4
1530787458 filter1_ID0000002 JOB_SUCCESS 0 condorpool - 4
1530787458 filter1_ID0000002 POST_SCRIPT_STARTED 797.0 condorpool - 4
1530787458 filter1_ID0000001 EXECUTE 799.0 condorpool - 6
1530787458 filter1_ID0000001 JOB_TERMINATED 799.0 condorpool - 6
1530787458 filter1_ID0000001 JOB_SUCCESS 0 condorpool - 6
1530787458 filter1_ID0000001 POST_SCRIPT_STARTED 799.0 condorpool - 6
1530787458 stage_out_local_local_0_0 JOB_TERMINATED 798.0 local - 5
1530787458 stage_out_local_local_0_0 JOB_SUCCESS 0 local - 5
1530787458 stage_out_local_local_0_0 POST_SCRIPT_STARTED 798.0 local - 5
1530787463 stage_out_local_local_0_0 POST_SCRIPT_TERMINATED 798.0 local - 5
1530787463 stage_out_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 5
1530787463 filter1_ID0000002 POST_SCRIPT_TERMINATED 797.0 condorpool - 4
1530787463 filter1_ID0000002 POST_SCRIPT_SUCCESS 0 condorpool - 4
1530787463 filter1_ID0000001 POST_SCRIPT_TERMINATED 799.0 condorpool - 6
1530787463 filter1_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 6
1530787468 register_local_0_0 SUBMIT 800.0 local - 7
1530787468 register_local_0_0 EXECUTE 800.0 local - 7
1530787468 separate2_ID0000004 SUBMIT 801.0 condorpool - 8
1530787468 separate2_ID0000003 SUBMIT 802.0 condorpool - 9
1530787473 separate2_ID0000004 EXECUTE 801.0 condorpool - 8
1530787473 register_local_0_0 JOB_TERMINATED 800.0 local - 7
1530787473 register_local_0_0 JOB_SUCCESS 0 local - 7
1530787473 register_local_0_0 POST_SCRIPT_STARTED 800.0 local - 7
1530787473 separate2_ID0000004 JOB_TERMINATED 801.0 condorpool - 8
1530787473 separate2_ID0000004 JOB_SUCCESS 0 condorpool - 8
1530787473 separate2_ID0000004 POST_SCRIPT_STARTED 801.0 condorpool - 8
1530787473 separate2_ID0000003 EXECUTE 802.0 condorpool - 9
1530787473 separate2_ID0000003 JOB_TERMINATED 802.0 condorpool - 9
1530787473 separate2_ID0000003 JOB_SUCCESS 0 condorpool - 9
1530787473 separate2_ID0000003 POST_SCRIPT_STARTED 802.0 condorpool - 9
1530787478 register_local_0_0 POST_SCRIPT_TERMINATED 800.0 local - 7
1530787478 register_local_0_0 POST_SCRIPT_SUCCESS 0 local - 7
1530787478 separate2_ID0000004 POST_SCRIPT_TERMINATED 801.0 condorpool - 8
1530787478 separate2_ID0000004 POST_SCRIPT_SUCCESS 0 condorpool - 8
1530787478 separate2_ID0000003 POST_SCRIPT_TERMINATED 802.0 condorpool - 9
1530787478 separate2_ID0000003 POST_SCRIPT_SUCCESS 0 condorpool - 9
1530787483 separate3_ID0000006 SUBMIT 803.0 condorpool - 10
1530787483 separate3_ID0000005 SUBMIT 804.0 condorpool - 11
1530787489 separate3_ID0000006 EXECUTE 803.0 condorpool - 10
1530787489 separate3_ID0000006 JOB_TERMINATED 803.0 condorpool - 10
1530787489 separate3_ID0000006 JOB_SUCCESS 0 condorpool - 10
1530787489 separate3_ID0000006 POST_SCRIPT_STARTED 803.0 condorpool - 10
1530787489 separate3_ID0000005 EXECUTE 804.0 condorpool - 11
1530787489 separate3_ID0000005 JOB_TERMINATED 804.0 condorpool - 11
1530787489 separate3_ID0000005 JOB_SUCCESS 0 condorpool - 11
1530787489 separate3_ID0000005 POST_SCRIPT_STARTED 804.0 condorpool - 11
1530787494 separate3_ID0000006 POST_SCRIPT_TERMINATED 803.0 condorpool - 10
1530787494 separate3_ID0000006 POST_SCRIPT_SUCCESS 0 condorpool - 10
1530787494 separate3_ID0000005 POST_SCRIPT_TERMINATED 804.0 condorpool - 11
1530787494 separate3_ID0000005 POST_SCRIPT_SUCCESS 0 condorpool - 11
1530787499 filter4_ID0000008 SUBMIT 805.0 condorpool - 12
1530787499 filter4_ID0000007 SUBMIT 806.0 condorpool - 13
1530787504 filter4_ID0000008 EXECUTE 805.0 condorpool - 12
1530787504 filter4_ID0000008 JOB_TERMINATED 805.0 condorpool - 12
1530787504 filter4_ID0000008 JOB_SUCCESS 0 condorpool - 12
1530787504 filter4_ID0000008 POST_SCRIPT_STARTED 805.0 condorpool - 12
1530787504 filter4_ID0000007 EXECUTE 806.0 condorpool - 13
1530787504 filter4_ID0000007 JOB_TERMINATED 806.0 condorpool - 13
1530787504 filter4_ID0000007 JOB_SUCCESS 0 condorpool - 13
1530787504 filter4_ID0000007 POST_SCRIPT_STARTED 806.0 condorpool - 13
1530787509 filter4_ID0000008 POST_SCRIPT_TERMINATED 805.0 condorpool - 12
1530787509 filter4_ID0000008 POST_SCRIPT_SUCCESS 0 condorpool - 12
1530787509 filter4_ID0000007 POST_SCRIPT_TERMINATED 806.0 condorpool - 13
