1530558178 INTERNAL *** MONITORD_STARTED ***
1530558177 INTERNAL *** DAGMAN_STARTED 714.0 ***
1530558181 create_dir_wrangling_0_local SUBMIT 715.0 local - 1
1530558186 create_dir_wrangling_0_local EXECUTE 715.0 local - 1
1530558186 create_dir_wrangling_0_local JOB_TERMINATED 715.0 local - 1
1530558186 create_dir_wrangling_0_local JOB_SUCCESS 0 local - 1
1530558186 create_dir_wrangling_0_local POST_SCRIPT_STARTED 715.0 local - 1
1530558191 create_dir_wrangling_0_local POST_SCRIPT_TERMINATED 715.0 local - 1
1530558191 create_dir_wrangling_0_local POST_SCRIPT_SUCCESS 0 local - 1
1530558196 svn0_ID0000000 SUBMIT 716.0 condorpool - 2
1530558201 svn0_ID0000000 EXECUTE 716.0 condorpool - 2
1530558201 svn0_ID0000000 JOB_TERMINATED 716.0 condorpool - 2
1530558201 svn0_ID0000000 JOB_SUCCESS 0 condorpool - 2
1530558201 svn0_ID0000000 POST_SCRIPT_STARTED 716.0 condorpool - 2
1530558206 svn0_ID0000000 POST_SCRIPT_TERMINATED 716.0 condorpool - 2
1530558206 svn0_ID0000000 POST_SCRIPT_SUCCESS 0 condorpool - 2
1530558212 filter1_ID0000002 SUBMIT 717.0 condorpool - 3
1530558212 stage_out_local_local_0_0 SUBMIT 718.0 local - 4
1530558212 filter1_ID0000002 EXECUTE 717.0 condorpool - 3
1530558212 filter1_ID0000001 SUBMIT 719.0 condorpool - 5
1530558212 stage_out_local_local_0_0 EXECUTE 718.0 local - 4
1530558217 filter1_ID0000002 JOB_TERMINATED 717.0 condorpool - 3
1530558217 filter1_ID0000002 JOB_SUCCESS 0 condorpool - 3
1530558217 filter1_ID0000002 POST_SCRIPT_STARTED 717.0 condorpool - 3
1530558217 filter1_ID0000001 EXECUTE 719.0 condorpool - 5
1530558217 filter1_ID0000001 JOB_TERMINATED 719.0 condorpool - 5
1530558217 filter1_ID0000001 JOB_SUCCESS 0 condorpool - 5
1530558217 filter1_ID0000001 POST_SCRIPT_STARTED 719.0 condorpool - 5
1530558217 stage_out_local_local_0_0 JOB_TERMINATED 718.0 local - 4
1530558217 stage_out_local_local_0_0 JOB_SUCCESS 0 local - 4
1530558217 stage_out_local_local_0_0 POST_SCRIPT_STARTED 718.0 local - 4
1530558222 filter1_ID0000002 POST_SCRIPT_TERMINATED 717.0 condorpool - 3
1530558222 filter1_ID0000002 POST_SCRIPT_SUCCESS 0 condorpool - 3
1530558222 filter1_ID0000001 POST_SCRIPT_TERMINATED 719.0 condorpool - 5
1530558222 filter1_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 5
1530558222 stage_out_local_local_0_0 POST_SCRIPT_TERMINATED 718.0 local - 4
1530558222 stage_out_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 4
1530558227 separate2_ID0000004 SUBMIT 720.0 condorpool - 6
1530558227 separate2_ID0000003 SUBMIT 721.0 condorpool - 7
1530558227 separate2_ID0000004 EXECUTE 720.0 condorpool - 6
1530558227 register_local_0_0 SUBMIT 722.0 local - 8
1530558232 register_local_0_0 EXECUTE 722.0 local - 8
1530558232 register_local_0_0 JOB_TERMINATED 722.0 local - 8
1530558232 register_local_0_0 JOB_SUCCESS 0 local - 8
1530558232 register_local_0_0 POST_SCRIPT_STARTED 722.0 local - 8
1530558232 separate2_ID0000004 JOB_TERMINATED 720.0 condorpool - 6
1530558232 separate2_ID0000004 JOB_SUCCESS 0 condorpool - 6
1530558232 separate2_ID0000004 POST_SCRIPT_STARTED 720.0 condorpool - 6
1530558232 separate2_ID0000003 EXECUTE 721.0 condorpool - 7
1530558232 separate2_ID0000003 JOB_TERMINATED 721.0 condorpool - 7
1530558232 separate2_ID0000003 JOB_SUCCESS 0 condorpool - 7
1530558232 separate2_ID0000003 POST_SCRIPT_STARTED 721.0 condorpool - 7
1530558237 register_local_0_0 POST_SCRIPT_TERMINATED 722.0 local - 8
1530558237 register_local_0_0 POST_SCRIPT_SUCCESS 0 local - 8
1530558237 separate2_ID0000003 POST_SCRIPT_TERMINATED 721.0 condorpool - 7
1530558237 separate2_ID0000003 POST_SCRIPT_SUCCESS 0 condorpool - 7
1530558237 separate2_ID0000004 POST_SCRIPT_TERMINATED 720.0 condorpool - 6
1530558237 separate2_ID0000004 POST_SCRIPT_SUCCESS 0 condorpool - 6
1530558243 separate3_ID0000005 SUBMIT 723.0 condorpool - 9
1530558243 separate3_ID0000006 SUBMIT 724.0 condorpool - 10
1530558248 separate3_ID0000005 EXECUTE 723.0 condorpool - 9
1530558248 separate3_ID0000005 JOB_TERMINATED 723.0 condorpool - 9
1530558248 separate3_ID0000005 JOB_SUCCESS 0 condorpool - 9
1530558248 separate3_ID0000005 POST_SCRIPT_STARTED 723.0 condorpool - 9
1530558248 separate3_ID0000006 EXECUTE 724.0 condorpool - 10
1530558248 separate3_ID0000006 JOB_TERMINATED 724.0 condorpool - 10
1530558248 separate3_ID0000006 JOB_SUCCESS 0 condorpool - 10
1530558248 separate3_ID0000006 POST_SCRIPT_STARTED 724.0 condorpool - 10
1530558253 separate3_ID0000005 POST_SCRIPT_TERMINATED 723.0 condorpool - 9
1530558253 separate3_ID0000005 POST_SCRIPT_SUCCESS 0 condorpool - 9
