1530785651 INTERNAL *** MONITORD_STARTED ***
1530785649 INTERNAL *** DAGMAN_STARTED 753.0 ***
1530785655 create_dir_wrangling_0_local SUBMIT 754.0 local - 1
1530785660 create_dir_wrangling_0_local EXECUTE 754.0 local - 1
1530785660 create_dir_wrangling_0_local JOB_TERMINATED 754.0 local - 1
1530785660 create_dir_wrangling_0_local JOB_SUCCESS 0 local - 1
1530785660 create_dir_wrangling_0_local POST_SCRIPT_STARTED 754.0 local - 1
1530785665 create_dir_wrangling_0_local POST_SCRIPT_TERMINATED 754.0 local - 1
1530785665 create_dir_wrangling_0_local POST_SCRIPT_SUCCESS 0 local - 1
1530785670 svn0_ID0000000 SUBMIT 755.0 condorpool - 2
1530785690 svn0_ID0000000 EXECUTE 755.0 condorpool - 2
1530785695 svn0_ID0000000 JOB_TERMINATED 755.0 condorpool - 2
1530785695 svn0_ID0000000 JOB_SUCCESS 0 condorpool - 2
1530785695 svn0_ID0000000 POST_SCRIPT_STARTED 755.0 condorpool - 2
1530785700 svn0_ID0000000 POST_SCRIPT_TERMINATED 755.0 condorpool - 2
1530785700 svn0_ID0000000 POST_SCRIPT_SUCCESS 0 condorpool - 2
1530785706 filter1_ID0000002 SUBMIT 756.0 condorpool - 3
1530785706 stage_out_local_local_0_0 SUBMIT 757.0 local - 4
1530785706 stage_out_local_local_0_0 EXECUTE 757.0 local - 4
1530785706 filter1_ID0000001 SUBMIT 758.0 condorpool - 5
1530785711 filter1_ID0000002 EXECUTE 756.0 condorpool - 3
1530785711 filter1_ID0000002 JOB_TERMINATED 756.0 condorpool - 3
1530785711 filter1_ID0000002 JOB_SUCCESS 0 condorpool - 3
1530785711 filter1_ID0000002 POST_SCRIPT_STARTED 756.0 condorpool - 3
1530785711 filter1_ID0000001 EXECUTE 758.0 condorpool - 5
1530785711 stage_out_local_local_0_0 JOB_TERMINATED 757.0 local - 4
1530785711 stage_out_local_local_0_0 JOB_SUCCESS 0 local - 4
1530785711 stage_out_local_local_0_0 POST_SCRIPT_STARTED 757.0 local - 4
1530785711 filter1_ID0000001 JOB_TERMINATED 758.0 condorpool - 5
1530785711 filter1_ID0000001 JOB_SUCCESS 0 condorpool - 5
1530785711 filter1_ID0000001 POST_SCRIPT_STARTED 758.0 condorpool - 5
1530785716 filter1_ID0000001 POST_SCRIPT_TERMINATED 758.0 condorpool - 5
1530785716 filter1_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 5
1530785716 filter1_ID0000002 POST_SCRIPT_TERMINATED 756.0 condorpool - 3
1530785716 filter1_ID0000002 POST_SCRIPT_SUCCESS 0 condorpool - 3
