1530748008 INTERNAL *** MONITORD_STARTED ***
1530748007 INTERNAL *** DAGMAN_STARTED 734.0 ***
1530748011 create_dir_wrangling_0_local SUBMIT 735.0 local - 1
1530748016 create_dir_wrangling_0_local EXECUTE 735.0 local - 1
1530748016 create_dir_wrangling_0_local JOB_TERMINATED 735.0 local - 1
1530748016 create_dir_wrangling_0_local JOB_SUCCESS 0 local - 1
1530748016 create_dir_wrangling_0_local POST_SCRIPT_STARTED 735.0 local - 1
1530748021 create_dir_wrangling_0_local POST_SCRIPT_TERMINATED 735.0 local - 1
1530748021 create_dir_wrangling_0_local POST_SCRIPT_SUCCESS 0 local - 1
1530748027 svn_ID0000000 SUBMIT 736.0 condorpool - 2
1530748032 svn_ID0000000 EXECUTE 736.0 condorpool - 2
1530748032 svn_ID0000000 JOB_TERMINATED 736.0 condorpool - 2
1530748032 svn_ID0000000 JOB_SUCCESS 0 condorpool - 2
1530748032 svn_ID0000000 POST_SCRIPT_STARTED 736.0 condorpool - 2
1530748037 svn_ID0000000 POST_SCRIPT_TERMINATED 736.0 condorpool - 2
1530748037 svn_ID0000000 POST_SCRIPT_SUCCESS 0 condorpool - 2
1530748042 deselect_ID0000001 SUBMIT 737.0 condorpool - 3
1530748042 stage_out_local_local_0_0 SUBMIT 738.0 local - 4
1530748047 stage_out_local_local_0_0 EXECUTE 738.0 local - 4
1530748047 deselect_ID0000001 EXECUTE 737.0 condorpool - 3
1530748047 deselect_ID0000001 JOB_TERMINATED 737.0 condorpool - 3
1530748047 deselect_ID0000001 JOB_SUCCESS 0 condorpool - 3
1530748047 deselect_ID0000001 POST_SCRIPT_STARTED 737.0 condorpool - 3
1530748047 stage_out_local_local_0_0 JOB_TERMINATED 738.0 local - 4
1530748047 stage_out_local_local_0_0 JOB_SUCCESS 0 local - 4
1530748047 stage_out_local_local_0_0 POST_SCRIPT_STARTED 738.0 local - 4
1530748052 deselect_ID0000001 POST_SCRIPT_TERMINATED 737.0 condorpool - 3
1530748052 deselect_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 3
1530748052 stage_out_local_local_0_0 POST_SCRIPT_TERMINATED 738.0 local - 4
1530748052 stage_out_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 4
1530748057 filterin_ID0000002 SUBMIT 739.0 condorpool - 5
1530748057 register_local_0_0 SUBMIT 740.0 local - 6
1530748062 register_local_0_0 EXECUTE 740.0 local - 6
1530748062 filterin_ID0000002 EXECUTE 739.0 condorpool - 5
1530748062 register_local_0_0 JOB_TERMINATED 740.0 local - 6
1530748062 register_local_0_0 JOB_SUCCESS 0 local - 6
1530748062 register_local_0_0 POST_SCRIPT_STARTED 740.0 local - 6
1530748062 filterin_ID0000002 JOB_TERMINATED 739.0 condorpool - 5
1530748062 filterin_ID0000002 JOB_SUCCESS 0 condorpool - 5
1530748062 filterin_ID0000002 POST_SCRIPT_STARTED 739.0 condorpool - 5
1530748067 register_local_0_0 POST_SCRIPT_TERMINATED 740.0 local - 6
1530748067 register_local_0_0 POST_SCRIPT_SUCCESS 0 local - 6
1530748067 filterin_ID0000002 POST_SCRIPT_TERMINATED 739.0 condorpool - 5
1530748067 filterin_ID0000002 POST_SCRIPT_SUCCESS 0 condorpool - 5
1530748072 separate2_ID0000003 SUBMIT 741.0 condorpool - 7
1530748077 separate2_ID0000003 EXECUTE 741.0 condorpool - 7
1530748077 separate2_ID0000003 JOB_TERMINATED 741.0 condorpool - 7
