1536324327 INTERNAL *** MONITORD_STARTED ***
1536324326 INTERNAL *** DAGMAN_STARTED 835.0 ***
1536324330 create_dir_wrangling_0_local SUBMIT 836.0 local - 1
1536324335 create_dir_wrangling_0_local EXECUTE 836.0 local - 1
1536324335 create_dir_wrangling_0_local JOB_TERMINATED 836.0 local - 1
1536324335 create_dir_wrangling_0_local JOB_SUCCESS 0 local - 1
1536324335 create_dir_wrangling_0_local POST_SCRIPT_STARTED 836.0 local - 1
1536324340 create_dir_wrangling_0_local POST_SCRIPT_TERMINATED 836.0 local - 1
1536324340 create_dir_wrangling_0_local POST_SCRIPT_SUCCESS 0 local - 1
1536324346 svn0_ID0000000 SUBMIT 837.0 condorpool - 2
1536324351 svn0_ID0000000 EXECUTE 837.0 condorpool - 2
1536324351 svn0_ID0000000 JOB_TERMINATED 837.0 condorpool - 2
1536324351 svn0_ID0000000 JOB_SUCCESS 0 condorpool - 2
1536324351 svn0_ID0000000 POST_SCRIPT_STARTED 837.0 condorpool - 2
1536324356 svn0_ID0000000 POST_SCRIPT_TERMINATED 837.0 condorpool - 2
1536324356 svn0_ID0000000 POST_SCRIPT_SUCCESS 0 condorpool - 2
1536324361 filter1_ID0000002 SUBMIT 838.0 condorpool - 3
1536324361 stage_out_local_local_0_0 SUBMIT 839.0 local - 4
1536324361 stage_out_local_local_0_0 EXECUTE 839.0 local - 4
1536324361 filter1_ID0000001 SUBMIT 840.0 condorpool - 5
1536324366 filter1_ID0000002 EXECUTE 838.0 condorpool - 3
1536324366 filter1_ID0000002 JOB_TERMINATED 838.0 condorpool - 3
1536324366 filter1_ID0000002 JOB_SUCCESS 0 condorpool - 3
1536324366 filter1_ID0000002 POST_SCRIPT_STARTED 838.0 condorpool - 3
1536324366 filter1_ID0000001 EXECUTE 840.0 condorpool - 5
1536324366 filter1_ID0000001 JOB_TERMINATED 840.0 condorpool - 5
1536324366 filter1_ID0000001 JOB_SUCCESS 0 condorpool - 5
1536324366 filter1_ID0000001 POST_SCRIPT_STARTED 840.0 condorpool - 5
1536324366 stage_out_local_local_0_0 JOB_TERMINATED 839.0 local - 4
1536324366 stage_out_local_local_0_0 JOB_SUCCESS 0 local - 4
1536324366 stage_out_local_local_0_0 POST_SCRIPT_STARTED 839.0 local - 4
1536324371 filter1_ID0000002 POST_SCRIPT_TERMINATED 838.0 condorpool - 3
1536324371 filter1_ID0000002 POST_SCRIPT_SUCCESS 0 condorpool - 3
1536324371 filter1_ID0000001 POST_SCRIPT_TERMINATED 840.0 condorpool - 5
1536324371 filter1_ID0000001 POST_SCRIPT_SUCCESS 0 condorpool - 5
1536324371 stage_out_local_local_0_0 POST_SCRIPT_TERMINATED 839.0 local - 4
1536324371 stage_out_local_local_0_0 POST_SCRIPT_SUCCESS 0 local - 4
1536324376 separate2_ID0000004 SUBMIT 841.0 condorpool - 6
