1530787078 INTERNAL *** MONITORD_STARTED ***
1530787077 INTERNAL *** DAGMAN_STARTED 776.0 ***
1530787081 create_dir_wrangling_0_local SUBMIT 777.0 local - 1
1530787086 create_dir_wrangling_0_local EXECUTE 777.0 local - 1
1530787086 create_dir_wrangling_0_local JOB_TERMINATED 777.0 local - 1
1530787086 create_dir_wrangling_0_local JOB_SUCCESS 0 local - 1
1530787086 create_dir_wrangling_0_local POST_SCRIPT_STARTED 777.0 local - 1
1530787091 create_dir_wrangling_0_local POST_SCRIPT_TERMINATED 777.0 local - 1
1530787091 create_dir_wrangling_0_local POST_SCRIPT_SUCCESS 0 local - 1
1530787096 svn0_ID0000000 SUBMIT 778.0 condorpool - 2
1530787101 svn0_ID0000000 EXECUTE 778.0 condorpool - 2
1530787101 svn0_ID0000000 JOB_TERMINATED 778.0 condorpool - 2
1530787101 svn0_ID0000000 JOB_SUCCESS 0 condorpool - 2
1530787101 svn0_ID0000000 POST_SCRIPT_STARTED 778.0 condorpool - 2
1530787106 svn0_ID0000000 POST_SCRIPT_TERMINATED 778.0 condorpool - 2
1530787106 svn0_ID0000000 POST_SCRIPT_SUCCESS 0 condorpool - 2
1530787112 filter1_ID0000002 SUBMIT 779.0 condorpool - 3
1530787112 stage_out_local_local_0_0 SUBMIT 780.0 local - 4
1530787112 stage_out_local_local_0_0 EXECUTE 780.0 local - 4
1530787112 filter1_ID0000001 SUBMIT 781.0 condorpool - 5
1530787117 filter1_ID0000002 EXECUTE 779.0 condorpool - 3
1530787117 filter1_ID0000002 JOB_TERMINATED 779.0 condorpool - 3
1530787117 filter1_ID0000002 JOB_SUCCESS 0 condorpool - 3
1530787117 filter1_ID0000002 POST_SCRIPT_STARTED 779.0 condorpool - 3
1530787117 filter1_ID0000001 EXECUTE 781.0 condorpool - 5
1530787117 filter1_ID0000001 JOB_TERMINATED 781.0 condorpool - 5
1530787117 filter1_ID0000001 JOB_SUCCESS 0 condorpool - 5
