1531146243 filter4_ID0000007 POST_SCRIPT_TERMINATED 827.0 condorpool - 12
1531146243 filter4_ID0000007 POST_SCRIPT_SUCCESS 0 condorpool - 12
1531146248 filter5_ID0000010 SUBMIT 828.0 condorpool - 13
1531146248 filter5_ID0000009 SUBMIT 829.0 condorpool - 14
1531146253 filter5_ID0000010 EXECUTE 828.0 condorpool - 13
1531146253 filter5_ID0000010 JOB_TERMINATED 828.0 condorpool - 13
1531146253 filter5_ID0000010 JOB_SUCCESS 0 condorpool - 13
1531146253 filter5_ID0000010 POST_SCRIPT_STARTED 828.0 condorpool - 13
1531146253 filter5_ID0000009 EXECUTE 829.0 condorpool - 14
1531146253 filter5_ID0000009 JOB_TERMINATED 829.0 condorpool - 14
1531146253 filter5_ID0000009 JOB_SUCCESS 0 condorpool - 14
1531146253 filter5_ID0000009 POST_SCRIPT_STARTED 829.0 condorpool - 14
1531146258 filter5_ID0000010 POST_SCRIPT_TERMINATED 828.0 condorpool - 13
1531146258 filter5_ID0000010 POST_SCRIPT_SUCCESS 0 condorpool - 13
1531146258 filter5_ID0000009 POST_SCRIPT_TERMINATED 829.0 condorpool - 14
1531146258 filter5_ID0000009 POST_SCRIPT_SUCCESS 0 condorpool - 14
1531146263 union6_ID0000011 SUBMIT 830.0 condorpool - 15
1531146268 union6_ID0000011 EXECUTE 830.0 condorpool - 15
1531146268 union6_ID0000011 JOB_TERMINATED 830.0 condorpool - 15
1531146268 union6_ID0000011 JOB_SUCCESS 0 condorpool - 15
1531146268 union6_ID0000011 POST_SCRIPT_STARTED 830.0 condorpool - 15
1531146273 union6_ID0000011 POST_SCRIPT_TERMINATED 830.0 condorpool - 15
1531146273 union6_ID0000011 POST_SCRIPT_SUCCESS 0 condorpool - 15
1531146279 stage_out_local_local_6_0 SUBMIT 831.0 local - 16
1531146279 stage_out_local_local_6_0 EXECUTE 831.0 local - 16
1531146279 mutate_ID0000012 SUBMIT 832.0 condorpool - 17
1531146284 mutate_ID0000012 EXECUTE 832.0 condorpool - 17
1531146284 mutate_ID0000012 JOB_TERMINATED 832.0 condorpool - 17
1531146284 mutate_ID0000012 JOB_SUCCESS 0 condorpool - 17
1531146284 mutate_ID0000012 POST_SCRIPT_STARTED 832.0 condorpool - 17
1531146284 stage_out_local_local_6_0 JOB_TERMINATED 831.0 local - 16
1531146284 stage_out_local_local_6_0 JOB_SUCCESS 0 local - 16
1531146284 stage_out_local_local_6_0 POST_SCRIPT_STARTED 831.0 local - 16
1531146289 mutate_ID0000012 POST_SCRIPT_TERMINATED 832.0 condorpool - 17
1531146289 mutate_ID0000012 POST_SCRIPT_SUCCESS 0 condorpool - 17
1531146289 stage_out_local_local_6_0 POST_SCRIPT_TERMINATED 831.0 local - 16
1531146289 stage_out_local_local_6_0 POST_SCRIPT_SUCCESS 0 local - 16
1531146294 stage_out_local_local_7_0 SUBMIT 833.0 local - 18
1531146299 stage_out_local_local_7_0 EXECUTE 833.0 local - 18
1531146299 stage_out_local_local_7_0 JOB_TERMINATED 833.0 local - 18
1531146299 stage_out_local_local_7_0 JOB_SUCCESS 0 local - 18
1531146299 stage_out_local_local_7_0 POST_SCRIPT_STARTED 833.0 local - 18
1531146304 stage_out_local_local_7_0 POST_SCRIPT_TERMINATED 833.0 local - 18
1531146304 stage_out_local_local_7_0 POST_SCRIPT_SUCCESS 0 local - 18
1531146309 cleanup_wrangling_0_local SUBMIT 834.0 local - 19
1531146314 cleanup_wrangling_0_local EXECUTE 834.0 local - 19
1531146314 cleanup_wrangling_0_local JOB_TERMINATED 834.0 local - 19
1531146314 cleanup_wrangling_0_local JOB_SUCCESS 0 local - 19
1531146314 INTERNAL *** DAGMAN_FINISHED 0 ***
1531146315 INTERNAL *** MONITORD_FINISHED 0 ***
